date,ticker,price,close_observations,confidence,risk_reward,stop_gap,target_gap,expected_days,long_votes,return_1d,momentum_2d,vol_2d,momentum_3d,vol_3d,momentum_5d,vol_5d,signal_strength
2026-05-12,000034,42.205,2,0.725,4.5,0.05000000000000002,0.2250000000000001,30.0,2,,,,,,,,1.1947408639265693
2026-05-08,000063,38.9,1,0.7,0.17212389380530976,0.87146529562982,0.15000000000000002,30.0,1,,,,,,,,0.4991221987567458
2026-05-09,000063,38.68,1,0.7,0.17226840855106887,0.8707342295760083,0.15,30.0,1,-0.005655526992287885,,,,,,,0.4991338852554126
2026-05-12,000063,38.09,1,0.75,0.3164672648720503,0.7899711210291416,0.2499999999999998,30.0,1,-0.015253360910030933,-0.020822622107969035,0.006786693447938358,,0.006786693447938358,,0.006786693447938358,0.5472801844681564
2026-05-14,000063,38.44,1,0.7,0.17242822966507193,0.8699271592091571,0.15000000000000016,30.0,1,0.00918876345497499,-0.006204756980351611,0.017283191885100625,-0.011825192802056628,0.012314549783824113,,0.012314549783824113,0.49914680953677854
2026-05-16,000063,36.71,2,0.7,0.5199716713881021,0.6731135930264234,0.35000000000000003,30.0,2,-0.045005202913631526,-0.03622998162247315,0.038320921118637365,-0.0509307135470527,0.027140300713279022,,0.022877288422424057,0.8356741166614077
2026-05-07,000425,10.37,1,0.7,2.250000000000002,0.07999999999999993,0.18000000000000002,30.0,1,,,,,,,,0.6671541612889476
2026-05-07,000528,9.87,1,0.7,2.5,0.08000000000000002,0.20000000000000004,30.0,1,,,,,,,,0.687370954055279
2026-05-08,000938,32.93,16,0.72,3.6,0.04999999999999999,0.17999999999999997,30.0,16,,,,,,,,3.0598704115807136
2026-05-09,000938,33.17,8,0.69375,0.32945967421533556,0.7588182092252035,0.2499999999999999,30.0,8,0.00728818706346801,,,,,,,1.6080251288295129
2026-05-24,000938,29.86,1,0.8,3.6000000000000036,0.049999999999999954,0.18000000000000002,45.0,1,-0.09978896593307207,-0.0932280595201943,0.07571498099400294,,0.07571498099400294,,0.07571498099400294,0.8317766166719343
